pure_comments,sinhala_texts,pure_unicodes,unique_emojis,polarity_emotions,polarity,emotion,polarity_ID,emotions_ID
පෑ හාදකම් යලි නෑ smiling_face_with_hearteyes _hand,පෑ හාදකම් යලි නෑ  ,smiling_face_with_hearteyes _hand,smiling_face_with_hearteyes _hand, positive love,positive,love,0,0
මනෝපාරක් smiling_face_with_hearteyes red_heart _hand,මනෝපාරක්   ,smiling_face_with_hearteyes red_heart _hand,smiling_face_with_hearteyes _hand red_heart, positive love,positive,love,0,0
අපි යද්දි එක පඩියේ පැය එකහමාරක් හිටියා relieved_face sleepy_face,අපි යද්දි එක පඩියේ පැය එකහමාරක් හිටියා  ,relieved_face sleepy_face,sleepy_face relieved_face, neutral sad,neutral,sad,1,1
ඒක නම් මරුuc smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearts smiling_face_with_hearts face_blowing_a_kiss face_blowing_a_kiss starstruck starstruck starstruck,ඒක නම් මරු                 ,uc smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearts smiling_face_with_hearts face_blowing_a_kiss face_blowing_a_kiss starstruck starstruck starstruck,uc smiling_face_with_hearteyes smiling_face_with_hearts starstruck face_blowing_a_kiss, positive love,positive,love,0,0
මේක ඇත්ත අත්දැකීමක් ද red_heart  red_heart ,මේක ඇත්ත අත්දැකීමක් ද    ,red_heart  red_heart , red_heart, neutral love,neutral,love,1,0
අනේ ඔයාගේ සිංදු පුදුම තරම් ලස්සනයීpleading_face pleading_face pushpin pushpin,අනේ ඔයාගේ සිංදු පුදුම තරම් ලස්සනයී   ,pleading_face pleading_face pushpin pushpin,pleading_face pushpin, positive love,positive,love,0,0
සැක් මෙ සින් එක මේ පාරත් මට උනා පට්ට අවුල් එකට නම්    crying_face crying_face,සැක් මෙ සින් එක මේ පාරත් මට උනා පට්ට අවුල් එකට නම්     ,   crying_face crying_face, crying_face, negative sad,negative,sad,2,1
හරිම ලස්සනයිthumbs_up,හරිම ලස්සනයි,thumbs_up,thumbs_up, positive joy,positive,joy,0,2
සෑහෙන්න කාලෙකට පස්සේ අහපු ලස්සනම සිංදුවක්   red_heart  red_heart ,සෑහෙන්න කාලෙකට පස්සේ අහපු ලස්සනම සිංදුවක්      ,   red_heart  red_heart , red_heart, neutral love,neutral,love,1,0
මටත් මෙහෙම ආදරයක් තිබුණා ඇස්වලින් විතරක් කතා කරපු red_heart  smiling_face_with_hearteyes orange_heart,මටත් මෙහෙම ආදරයක් තිබුණා ඇස්වලින් විතරක් කතා කරපු    ,red_heart  smiling_face_with_hearteyes orange_heart, smiling_face_with_hearteyes orange_heart red_heart, neutral love,neutral,love,1,0
 පාරකට වඩා ඇහුවා  ඔය අත්දැකීම ඕනෙම කෙනෙක් විඳල තියෙන සුන්දර වගේම දුක්බර අත්දැකීමක්    f red_heart  slightly_smiling_face smiling_face_with_hearts, පාරකට වඩා ඇහුවා  ඔය අත්දැකීම ඕනෙම කෙනෙක් විඳල තියෙන සුන්දර වගේම දුක්බර අත්දැකීමක්        ,   f red_heart  slightly_smiling_face smiling_face_with_hearts, f smiling_face_with_hearts slightly_smiling_face red_heart, neutral love,neutral,love,1,0
කියන්න වචන නෑ මේ විඩීයෝ එක ගැනපට්ට  thumbs_up red_heart ,කියන්න වචන නෑ මේ විඩීයෝ එක ගැනපට්ට    ,  thumbs_up red_heart , red_heart thumbs_up, positive love,positive,love,0,0
කලාතුරකින් පිපෙන මල නෙලා ගන්න තමයි අමාරු     red_heart  smirking_face,කලාතුරකින් පිපෙන මල නෙලා ගන්න තමයි අමාරු       ,    red_heart  smirking_face, smirking_face red_heart, neutral love,neutral,love,1,0
නියමයි ලස්සන වීඩියෝ එකත් සුපිරි smiling_face_with_hearteyes starstruck starstruck starstruck hugging_face hugging_face hugging_face,නියමයි ලස්සන වීඩියෝ එකත් සුපිරි       ,smiling_face_with_hearteyes starstruck starstruck starstruck hugging_face hugging_face hugging_face,smiling_face_with_hearteyes starstruck hugging_face, positive joy,positive,joy,0,2
මටත් සිරිපාදේදේ ලස්සන ඇස් දෙකක් හම්බුනා ඒත් ඒ ඇස් දෙක මට මගහැරුණා         downcast_face_with_sweat red_heart ,මටත් සිරිපාදේදේ ලස්සන ඇස් දෙකක් හම්බුනා ඒත් ඒ ඇස් දෙක මට මගහැරුණා           ,        downcast_face_with_sweat red_heart , downcast_face_with_sweat red_heart, neutral sad,neutral,sad,1,1
හරිම ලස්සනයි smiling_face_with_hearts red_heart hugging_face,හරිම ලස්සනයි   ,smiling_face_with_hearts red_heart hugging_face,smiling_face_with_hearts hugging_face red_heart, positive love,positive,love,0,0
ශ්රී පාද කරුණා කරන්න අදහස ආවෙ මේ විශුවල් එක දැකලා  මෙ වගේ ගෑනුළමෙක් මුන නොගැසුනත් අපේ උන් ටික එක්ක ගියාම ඒකෙ අඩුවක් දැනුන්නෑ ud cherry_blossom bouquet,ශ්රී පාද කරුණා කරන්න අදහස ආවෙ මේ විශුවල් එක දැකලා  මෙ වගේ ගෑනුළමෙක් මුන නොගැසුනත් අපේ උන් ටික එක්ක ගියාම ඒකෙ අඩුවක් දැනුන්නෑ   ,ud cherry_blossom bouquet,bouquet ud cherry_blossom, neutral joy,neutral,joy,1,2
කෙල්ලව දැකලා පුරුදුයිclapping_hands red_heart,කෙල්ලව දැකලා පුරුදුයි ,clapping_hands red_heart,clapping_hands red_heart, neutral love,neutral,love,1,0
හරිම ලස්සන සින්දුවක් කවදාවත් අහලා  තිබ්බේ නෑ  මීට  කලින්නංගී  තමයි  අහන්න කියලා  එව්වේ  ඇහුවට  පස්සෙ තේරුනේ  ඒක  හරි  ලස්සනයි කියලා                          smiling_face_with_smiling_eyes heart_suit ,හරිම ලස්සන සින්දුවක් කවදාවත් අහලා  තිබ්බේ නෑ  මීට  කලින්නංගී  තමයි  අහන්න කියලා  එව්වේ  ඇහුවට  පස්සෙ තේරුනේ  ඒක  හරි  ලස්සනයි කියලා                            ,                          smiling_face_with_smiling_eyes heart_suit , heart_suit smiling_face_with_smiling_eyes, positive joy,positive,joy,0,2
ශිට් රත්නපුර පාරෙන් ගියෙ ඇයිcrying_face,ශිට් රත්නපුර පාරෙන් ගියෙ ඇයි,crying_face,crying_face, neutral sad,neutral,sad,1,1
අපි කී දෙනෙක්ට මෙහෙම වෙලා ඇත්දsmiling_face_with_hearteyes smiling_face_with_hearteyes disappointed_face disappointed_face,අපි කී දෙනෙක්ට මෙහෙම වෙලා ඇත්ද   ,smiling_face_with_hearteyes smiling_face_with_hearteyes disappointed_face disappointed_face,smiling_face_with_hearteyes disappointed_face, neutral sad,neutral,sad,1,1
ලස්සන වීඩියෝ එකක්    smiling_face_with_hearteyes,ලස්සන වීඩියෝ එකක්    ,    smiling_face_with_hearteyes, smiling_face_with_hearteyes, positive love,positive,love,0,0
මේ වගේ සීන් අපිටත් වෙලා තියෙනවාසුපිරි වැඩක්smiling_face_with_hearteyes smiling_face_with_hearteyes _hand light_skin_tone _hand light_skin_tone,මේ වගේ සීන් අපිටත් වෙලා තියෙනවාසුපිරි වැඩක්     ,smiling_face_with_hearteyes smiling_face_with_hearteyes _hand light_skin_tone _hand light_skin_tone,light_skin_tone smiling_face_with_hearteyes _hand, positive love,positive,love,0,0
මඟහැරුනු තැන් අනන්ත උනත් ඒක ලස්සන සුන්දර මතකයක් අත්දැකීමක්   pleading_face red_heart,මඟහැරුනු තැන් අනන්ත උනත් ඒක ලස්සන සුන්දර මතකයක් අත්දැකීමක්    ,  pleading_face red_heart, pleading_face red_heart, positive love,positive,love,0,0
එක පාරට වඩා අහපු වුන් මේ කොනට  smiling_face_with_hearteyes,එක පාරට වඩා අහපු වුන් මේ කොනට  ,smiling_face_with_hearteyes,smiling_face_with_hearteyes, neutral joy,neutral,joy,1,2
වෙනම ලෝකෙකට ගෙනියනවාthumbs_up thumbs_up broken_heart,වෙනම ලෝකෙකට ගෙනියනවා  ,thumbs_up thumbs_up broken_heart,broken_heart thumbs_up, neutral sad,neutral,sad,1,1
මේ ආපු දවස් වල බලද්දි මම සිරිපා කරුනා කරලා තිබ්බේ නැහැ ඒත් මේ පහු වුන වාරෙදි මම කරුනා කලා මම ආසාවෙන් හිටියා වගේම මම ආදරේ කරන කෙනත් එක්ක දිගටම මේ සිංදුව නම් මතක් වුනා      beaming_face_with_smiling_eyes heart_suit    heart_suit ,මේ ආපු දවස් වල බලද්දි මම සිරිපා කරුනා කරලා තිබ්බේ නැහැ ඒත් මේ පහු වුන වාරෙදි මම කරුනා කලා මම ආසාවෙන් හිටියා වගේම මම ආදරේ කරන කෙනත් එක්ක දිගටම මේ සිංදුව නම් මතක් වුනා            ,      beaming_face_with_smiling_eyes heart_suit    heart_suit , heart_suit beaming_face_with_smiling_eyes, neutral love,neutral,love,1,0
මටත් මෙම උනා එයා දැන් කොහෙද දන්නෑ  crying_face crying_face  ,මටත් මෙම උනා එයා දැන් කොහෙද දන්නෑ     ,  crying_face crying_face  , crying_face, neutral sad,neutral,sad,1,1
මටත් ඔහොම අත්දැකීමක් තියෙනවා     smiling_face_with_smiling_eyes smiling_face,මටත් ඔහොම අත්දැකීමක් තියෙනවා      ,   smiling_face_with_smiling_eyes smiling_face, smiling_face_with_smiling_eyes smiling_face, neutral joy,neutral,joy,1,2
