index,conated_comments,polarity_emotions,polarity_emotions_ID
0,පෑ හාදකම් යලි නෑ smiling_face_with_hearteyes _hand, positive love,0
1,මනෝපාරක් smiling_face_with_hearteyes red_heart _hand, positive love,0
2,අපි යද්දි එක පඩියේ පැය එකහමාරක් හිටියා relieved_face sleepy_face, neutral sad,1
3,ඒක නම් මරුuc smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearts smiling_face_with_hearts face_blowing_a_kiss face_blowing_a_kiss starstruck starstruck starstruck, positive love,0
4,මේක ඇත්ත අත්දැකීමක් ද red_heart  red_heart , neutral love,2
5,අනේ ඔයාගේ සිංදු පුදුම තරම් ලස්සනයීpleading_face pleading_face pushpin pushpin, positive love,0
6,සැක් මෙ සින් එක මේ පාරත් මට උනා පට්ට අවුල් එකට නම්    crying_face crying_face, negative sad,3
7,හරිම ලස්සනයිthumbs_up, positive joy,4
8,සෑහෙන්න කාලෙකට පස්සේ අහපු ලස්සනම සිංදුවක්   red_heart  red_heart , neutral love,2
9,මටත් මෙහෙම ආදරයක් තිබුණා ඇස්වලින් විතරක් කතා කරපු red_heart  smiling_face_with_hearteyes orange_heart, neutral love,2
10, පාරකට වඩා ඇහුවා  ඔය අත්දැකීම ඕනෙම කෙනෙක් විඳල තියෙන සුන්දර වගේම දුක්බර අත්දැකීමක්    f red_heart  slightly_smiling_face smiling_face_with_hearts, neutral love,2
11,කියන්න වචන නෑ මේ විඩීයෝ එක ගැනපට්ට  thumbs_up red_heart , positive love,0
12,කලාතුරකින් පිපෙන මල නෙලා ගන්න තමයි අමාරු     red_heart  smirking_face, neutral love,2
13,නියමයි ලස්සන වීඩියෝ එකත් සුපිරි smiling_face_with_hearteyes starstruck starstruck starstruck hugging_face hugging_face hugging_face, positive joy,4
14,මටත් සිරිපාදේදේ ලස්සන ඇස් දෙකක් හම්බුනා ඒත් ඒ ඇස් දෙක මට මගහැරුණා         downcast_face_with_sweat red_heart , neutral sad,1
15,හරිම ලස්සනයි smiling_face_with_hearts red_heart hugging_face, positive love,0
16,ශ්රී පාද කරුණා කරන්න අදහස ආවෙ මේ විශුවල් එක දැකලා  මෙ වගේ ගෑනුළමෙක් මුන නොගැසුනත් අපේ උන් ටික එක්ක ගියාම ඒකෙ අඩුවක් දැනුන්නෑ ud cherry_blossom bouquet, neutral joy,5
17,කෙල්ලව දැකලා පුරුදුයිclapping_hands red_heart, neutral love,2
18,හරිම ලස්සන සින්දුවක් කවදාවත් අහලා  තිබ්බේ නෑ  මීට  කලින්නංගී  තමයි  අහන්න කියලා  එව්වේ  ඇහුවට  පස්සෙ තේරුනේ  ඒක  හරි  ලස්සනයි කියලා                          smiling_face_with_smiling_eyes heart_suit , positive joy,4
19,ශිට් රත්නපුර පාරෙන් ගියෙ ඇයිcrying_face, neutral sad,1
20,අපි කී දෙනෙක්ට මෙහෙම වෙලා ඇත්දsmiling_face_with_hearteyes smiling_face_with_hearteyes disappointed_face disappointed_face, neutral sad,1
21,ලස්සන වීඩියෝ එකක්    smiling_face_with_hearteyes, positive love,0
22,මේ වගේ සීන් අපිටත් වෙලා තියෙනවාසුපිරි වැඩක්smiling_face_with_hearteyes smiling_face_with_hearteyes _hand light_skin_tone _hand light_skin_tone, positive love,0
23,මඟහැරුනු තැන් අනන්ත උනත් ඒක ලස්සන සුන්දර මතකයක් අත්දැකීමක්   pleading_face red_heart, positive love,0
24,එක පාරට වඩා අහපු වුන් මේ කොනට  smiling_face_with_hearteyes, neutral joy,5
25,වෙනම ලෝකෙකට ගෙනියනවාthumbs_up thumbs_up broken_heart, neutral sad,1
26,මේ ආපු දවස් වල බලද්දි මම සිරිපා කරුනා කරලා තිබ්බේ නැහැ ඒත් මේ පහු වුන වාරෙදි මම කරුනා කලා මම ආසාවෙන් හිටියා වගේම මම ආදරේ කරන කෙනත් එක්ක දිගටම මේ සිංදුව නම් මතක් වුනා      beaming_face_with_smiling_eyes heart_suit    heart_suit , neutral love,2
27,මටත් මෙම උනා එයා දැන් කොහෙද දන්නෑ  crying_face crying_face  , neutral sad,1
28,මටත් ඔහොම අත්දැකීමක් තියෙනවා     smiling_face_with_smiling_eyes smiling_face, neutral joy,5
29,රූප රචනාව හරිම ලස්සනයි  ශබ්ද රසය නියමයි  පද රචනාව සුන්දරයි  ඔක්කොම පට්ට smiling_face_with_hearteyes _hand smiling_face_with_halo smiling_face_with_sunglasses, positive joy,4
30,මගේ ආදරේත් හම්බවුනේ මෙ පින් පිමෙන්දැන් අපේ ආදරේට අවුරැදු  ක්   smiling_face_with_hearteyes face_blowing_a_kiss, neutral love,2
31,මන් මේ සිංදුව දාපු කාලේ ඉඳලම අද වෙනකන් අහන කෙනෙක් ඊයේ පෙරේදා දවස් දෙකේ මායි මගෙ යාලුවෝ කීප දෙනෙකුයි සිරිපා කරුණාවට වෙන් කළාමම කෝඩුකාරයෙක්ඒ වෙලාවෙත් මට මේ සිංදුව මතක් උනාඅද නිවාඩුවේ ගෙදර ඉන්න ගමන් මන් ආයේ මේක බලන්න ආවා කියාගන්න වචන නෑඅර මාස ගානක් තිස්සේ බලපු දේ සම්පූර්ණ තේරුම තේරුණේ දැන් තමා මට  කියාගන්න වචන නෑ දැන් නන්  මේ සිංදුව බලන හැම වෙලේකම මගෙ අත්දැකීම අලුත් වේවි මතක් වෙවී               smiling_face_with_smiling_eyes  red_heart  , neutral joy,5
32,රැවුල නැති කාලේ beaming_face_with_smiling_eyes, neutral sarcasm,6
33,හෙනම කට්ටක් කාල කරල තියෙන්නෙ වැඩේrelieved_face relieved_face raised_back_of_hand, neutral sad,1
34,ඇයි ගොනෝ නම්බර් එක නොදුන්නේ මට උඹෙන් වගේම මගෙනුත් අහගන්න තියෙන එකම ප්රශ්නෙ    pensive_face ud pensive_face broken_heart, negative sad,3
